Betas:
CE N	  1089.361 5   	     2.40E-5 % 4 	  2.61E-7 4 
CE O	  1089.712 5   	     3.69E-6 % 6 	  4.02E-8 6 
CE L	  1100.80 5   	     5.03E-5 % 19 	  5.54E-7 21 
CE M	  1107.30 5   	     1.09E-5 % 4 	  1.21E-7 5 
CE N	  1108.80 5   	     2.51E-6 % 9 	  2.78E-8 10 
CE O	  1109.15 5   	     3.85E-7 % 14 	  4.27E-9 16 
CE K	  1155.85 16   	     2.08E-5 % 21 	  2.40E-7 25 
CE L	  1197.71 16   	     2.9E-6 % 3 	  3.5E-8 4 
CE M	  1204.21 16   	     6.3E-7 % 6 	  7.6E-9 8 
CE N	  1205.71 16   	     1.44E-7 % 15 	  1.74E-9 18 
CE O	  1206.06 16   	     2.23E-8 % 23 	  2.7E-10 3 
CE K	  1211.11 5   	     7.5E-5 % 3 	  9.1E-7 4 
CE K	  1248.903 8   	     0.001004 % 21 	  1.25E-5 3 
CE L	  1252.97 5   	     1.02E-5 % 4 	  1.27E-7 5 
CE M	  1259.47 5   	     2.19E-6 % 9 	  2.76E-8 12 
CE N	  1260.97 5   	     5.04E-7 % 21 	  6.4E-9 3 
CE O	  1261.32 5   	     7.9E-8 % 3 	  9.9E-10 4 
CE K	  1264.3608 5   	     1.1E-6 % 3 	  1.4E-8 4 
CE L	  1290.766 8   	     1.30E-4 % 3 	  1.68E-6 4 
CE M	  1297.261 8   	     2.79E-5 % 7 	  3.62E-7 9 
CE K	  1297.86 7   	     2.22E-5 % 11 	  2.88E-7 14 
CE N	  1298.766 8   	     6.40E-6 % 14 	  8.31E-8 18 
CE O	  1299.116 8   	     9.96E-7 % 21 	  1.29E-8 3 
CE L	  1306.2244 5   	     1.5E-7 % 4 	  1.9E-9 5 
CE M	  1312.7191 5   	     3.2E-8 % 9 	  4.1E-10 12 
CE N	  1314.2241 7   	     7.3E-9 % 20 	  1.0E-10 3 
CE O	  1314.574  	     1.1E-9 % 3 	  1.5E-11 4 
CE L	  1339.72 7   	     3.06E-6 % 15 	  4.10E-8 20 
CE M	  1346.22 7   	     6.6E-7 % 3 	  8.9E-9 4 
CE N	  1347.72 7   	     1.52E-7 % 7 	  2.05E-9 10 
CE O	  1348.07 7   	     2.35E-8 % 11 	  3.17E-10 15 
CE K	  1555.38 7   	     7.2E-6 % 4 	  1.13E-7 6 
CE L	  1597.24 7   	     9.8E-7 % 5 	  1.56E-8 8 
CE M	  1603.74 7   	     2.11E-7 % 11 	  3.38E-9 17 
CE N	  1605.24 7   	     4.85E-8 % 24 	  7.8E-10 4 
CE O	  1605.59 7   	     7.5E-9 % 4 	  1.21E-10 6 
Auger L	     4.53  	    74.6 % 7 	  0.00338 3 
Auger K	    32.6  	     5.9 % 3 	  0.00191 10 
