============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  139  2 .1016392E+07   1500015E-01 -.2943E+05 -.1385E+05   .9632891 -.2663599 -.0335645
T  140  2 .1124986E+07   1500001E-01  .3018E+04  .2951E+04   .9828028  .0761816  .1682115
T  141  2 .1090538E+07   1500021E-01 -.4508E+04 -.2931E+04   .9974650 -.0711582 -.0000985
T  142  2 .1205687E+07   1500021E-01  .5344E+03 -.6162E+04   .9953132 -.0417752 -.0872148
T  143  2 .1266294E+07   1500001E-01  .1250E+04  .1642E+04   .9987866  .0401470 -.0285218
T  144  2 .1047347E+07   1500024E-01 -.6120E+04  .1826E+04   .9883137 -.1365128  .0678255
T  145  2 .1111461E+07   1500019E-01 -.1546E+04  .5512E+04   .9873863 -.0203140  .1570211
T  146  2 .1148637E+07   1500007E-01  .5072E+04  .4660E+04   .9953464  .0686321  .0676404
T  147  2 .1035311E+07   1500004E-01  .2285E+04  .3184E+04   .9944284  .0570884  .0886181
T  148  2 .1034532E+07   1500011E-01  .8039E+03 -.4586E+04   .9997813  .0160068 -.0134583
T  149  2 .1292142E+07   1500008E-01  .1066E+04 -.4814E+04   .9927223  .0686982 -.0989092
T  150  2 .1120352E+07   1500002E-01  .6286E+03 -.6974E+03   .9998990 -.0059542  .0129031
T  151  2 .1150310E+07   1500004E-01 -.1033E+04 -.2155E+04   .9994317 -.0241598  .0235082
T  152  2 .1214950E+07   1500021E-01 -.1643E+04  .2304E+04   .9999142 -.0121492  .0048933
T  153  2 .1028124E+07   1500025E-01 -.2730E+02 -.3794E+04   .9823886  .1130663 -.1487568
T  154  2 .1197396E+07   1500008E-01  .1840E+04  .5750E+04   .9986330  .0014416  .0522500
T  155  2 .1100199E+07   1500008E-01 -.2515E+03  .1770E+04   .9969063  .0047774  .0784535
T  156  2 .1108482E+07   1500008E-01  .4766E+04  .1109E+04   .9981203  .0583057 -.0188778
T  157  2 .1069614E+07   1500024E-01 -.1951E+04 -.2490E+04   .9988453  .0155388 -.0454594
T  158  2 .1119449E+07   1500019E-01  .9073E+03 -.4269E+04   .9960369  .0528939 -.0715040
T  159  2 .1307998E+07   1500020E-01 -.1114E+04 -.2957E+04   .9998580  .0168331  .0008506
T  160  2 .1103673E+07   1500023E-01 -.2282E+04  .1053E+04   .9985663 -.0525296 -.0102974
T  161  2 .1002861E+07   1500025E-01 -.2559E+04 -.4846E+04   .9986371 -.0328360 -.0405675
T  162  2 .1068193E+07   1500024E-01  .1649E+04  .6586E+04   .9835411  .0657917  .1682808
T  163  2 .1172370E+07   1500014E-01  .1640E+04 -.2689E+04   .9993228  .0265659  .0254583
T  164  2 .1216964E+07   1500012E-01  .1215E+04  .6439E+03   .9923319 -.0261450 -.1208047
T  165  2 .1049102E+07   1500023E-01  .1326E+04 -.3462E+04   .9926218  .0400706 -.1144388
T  166  2 .1029268E+07   1500021E-01  .8551E+04  .5589E+04   .9826556  .1838122 -.0245149
T  167  2 .1132373E+07   1500012E-01  .5753E+04 -.5539E+04   .9831034  .0695260 -.1693338
T  168  2 .1075004E+07   1500005E-01 -.2953E+04 -.2112E+04   .9964701 -.0810568 -.0218436
